SpotifyID,Track,Artist,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,is_hit
4QJLKU75Rg4558f4LbDBRi,If Today Was Your Last Day,Nickelback,0.485,0.911,3,1,0.0355,8.67e-05,0.0,0.092,0.568,89.956,249067,-5.749,1
680kMGV6szhTiZbHRr3vLi,Close To You,Maxi Priest,0.762,0.646,10,0,0.092,0.0105,2.14e-06,0.0406,0.819,95.992,330080,-8.69,1
1uZ9YcuHkxbeAPaDuNvcn7,One On One,To Be Continued...,0.581,0.929,9,1,0.0375,0.000393,0.0,0.17,0.846,127.998,186973,-3.529,1
3Jv1XgMPVjdN5xGfnRJ20s,Pop That,French Montana Featuring Rick Ros,0.734,0.892,2,1,0.125,0.0648,0.0,0.58,0.605,138.031,303533,-1.856,1
3mGInrwzOLn6GdgIkyhSxC,Hasta El Final,La Portuaria,0.865,0.487,7,1,0.0459,0.173,0.0055,0.106,0.513,122.01,224867,-7.409,0
68EKUNtzGVapUS30PJDVKs,(I Could Only) Whisper Your Name,Harry Connic,0.682,0.572,5,0,0.045,0.191,0.204,0.0504,0.844,89.083,290333,-7.067,1
1MTQHCpraD4S8g5PAFKzoj,Behind Blue Eyes,Limp Bizkit,0.595,0.489,7,1,0.0271,0.497,0.0,0.119,0.0902,120.315,269973,-6.66,1
7soJgKhQTO8hLP2JPRkL5O,One Call Away,Charlie Puth,0.667,0.613,1,1,0.0344,0.403,0.0,0.115,0.47,91.024,194453,-5.353,1
5slR5vjPzfDDr8ngiDeiGf,Glad You Came,Glee Cast,0.597,0.765,7,0,0.223,0.425,0.0,0.111,0.391,126.857,194667,-5.831,1
4esOae7i4rqTbAu9o5Pxco,Girl On Fire,Alicia Keys Featuring Nicki Minaj,0.482,0.706,9,1,0.0609,0.135,0.00106,0.105,0.144,92.494,224920,-5.762,1
5OItvMnlXm5OugNhUQwxgS,Slaves & Bulldozers,Soundgarden,0.476,0.731,0,1,0.0336,3.86e-05,0.00213,0.305,0.215,130.981,416200,-6.053,0
5D9dR2FCi6LH2cD5pOjIW7,Good Loving,C.C. Adcock,0.436,0.918,7,1,0.0514,0.0269,0.0093,0.223,0.826,172.588,121133,-6.82,0
7p2ewixAShLpjDZrnzZK7c,Get Up 10,Cardi B,0.806,0.57,1,1,0.246,0.0977,0.0,0.105,0.454,93.015,231453,-6.927,1
